movie,year,category,nominee,bafta,globe,oscar,rated,runtime,director,language,imdb_score,imdb_votes,rt_score,metascore,box_office,other_win,other_nom,history,crime,adventure,musical,action,war,western,scifi,comedy,mystery,music,fantasy,family,thriller,drama,biography,romance,animation,sport,horror
Raging Bull,1980,actor,Robert De Niro,0,1,1,R,129,Martin Scorsese,English,8.2,326193,9.3,8.9,23383987,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Raging Bull,1980,director,Martin Scorsese,0,0,0,R,129,Martin Scorsese,English,8.2,326193,9.3,8.9,23383987,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Raging Bull,1980,picture,Raging Bull,0,0,0,R,129,Martin Scorsese,English,8.2,326193,9.3,8.9,23383987,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
The Great Santini,1980,actor,Robert Duvall,0,0,0,PG,115,Lewis John Carlino,English,7.2,5756,9.5,6.4,4702575,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Elephant Man,1980,actor,John Hurt,1,0,0,PG,124,David Lynch,English,8.1,224116,9.2,7.8,26010864,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
The Elephant Man,1980,director,David Lynch,0,0,0,PG,124,David Lynch,English,8.1,224116,9.2,7.8,26010864,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
The Elephant Man,1980,picture,The Elephant Man,1,0,0,PG,124,David Lynch,English,8.1,224116,9.2,7.8,26010864,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
The Stunt Man,1980,actor,Peter O'Toole,0,0,0,R,131,Richard Rush,English,7.0,8848,9.0,7.7,7063886,4,8,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
The Stunt Man,1980,director,Richard Rush,0,0,0,R,131,Richard Rush,English,7.0,8848,9.0,7.7,7063886,4,8,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0
On Golden Pond,1981,actor,Henry Fonda,0,1,1,PG,109,Mark Rydell,English,7.6,28225,9.3,6.8,119285432,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
On Golden Pond,1981,actress,Katharine Hepburn,0,0,1,PG,109,Mark Rydell,English,7.6,28225,9.3,6.8,119285432,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
On Golden Pond,1981,director,Mark Rydell,0,0,0,PG,109,Mark Rydell,English,7.6,28225,9.3,6.8,119285432,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
On Golden Pond,1981,picture,On Golden Pond,0,1,0,PG,109,Mark Rydell,English,7.6,28225,9.3,6.8,119285432,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Reds,1981,actor,Warren Beatty,0,0,0,PG,195,Warren Beatty,English,7.3,21156,8.9,7.6,40382659,19,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Reds,1981,actress,Diane Keaton,0,0,0,PG,195,Warren Beatty,English,7.3,21156,8.9,7.6,40382659,19,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Reds,1981,director,Warren Beatty,0,1,1,PG,195,Warren Beatty,English,7.3,21156,8.9,7.6,40382659,19,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Reds,1981,picture,Reds,0,0,0,PG,195,Warren Beatty,English,7.3,21156,8.9,7.6,40382659,19,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Arthur,1981,actor,Dudley Moore,0,1,0,PG,97,Steve Gordon,English,6.9,26262,8.8,6.9,95461682,9,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Absence of Malice,1981,actor,Paul Newman,0,0,0,PG,116,Sydney Pollack,English,6.9,12134,8.1,6.4,40716963,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Gandhi,1982,actor,Ben Kingsley,1,1,1,PG,191,Richard Attenborough,English,8.0,219430,8.5,7.9,52767889,27,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Gandhi,1982,director,Richard Attenborough,1,1,1,PG,191,Richard Attenborough,English,8.0,219430,8.5,7.9,52767889,27,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Gandhi,1982,picture,Gandhi,1,0,1,PG,191,Richard Attenborough,English,8.0,219430,8.5,7.9,52767889,27,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Tootsie,1982,actor,Dustin Hoffman,0,1,0,PG,116,Sydney Pollack,English,7.4,99504,9.0,8.8,177200000,24,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
Tootsie,1982,director,Sydney Pollack,0,0,0,PG,116,Sydney Pollack,English,7.4,99504,9.0,8.8,177200000,24,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
Tootsie,1982,picture,Tootsie,0,1,0,PG,116,Sydney Pollack,English,7.4,99504,9.0,8.8,177200000,24,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
Missing,1982,actor,Jack Lemmon,0,0,0,PG,122,Costa-Gavras,English,7.7,18829,9.4,7.8,14000000,11,21,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
Missing,1982,actress,Sissy Spacek,0,0,0,PG,122,Costa-Gavras,English,7.7,18829,9.4,7.8,14000000,11,21,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
Missing,1982,picture,Missing,0,0,0,PG,122,Costa-Gavras,English,7.7,18829,9.4,7.8,14000000,11,21,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
The Verdict,1982,actor,Paul Newman,0,0,0,R,129,Sidney Lumet,English,7.7,36842,8.8,7.7,53977250,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Verdict,1982,director,Sidney Lumet,0,0,0,R,129,Sidney Lumet,English,7.7,36842,8.8,7.7,53977250,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Verdict,1982,picture,The Verdict,0,0,0,R,129,Sidney Lumet,English,7.7,36842,8.8,7.7,53977250,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
My Favorite Year,1982,actor,Peter O'Toole,0,0,0,PG,92,Richard Benjamin,English,7.4,8888,9.6,6.2,20123620,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Tender Mercies,1983,actor,Robert Duvall,0,1,1,PG,92,Bruce Beresford,English,7.4,9652,8.4,7.6,8443124,7,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Tender Mercies,1983,director,Bruce Beresford,0,0,0,PG,92,Bruce Beresford,English,7.4,9652,8.4,7.6,8443124,7,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Tender Mercies,1983,picture,Tender Mercies,0,0,0,PG,92,Bruce Beresford,English,7.4,9652,8.4,7.6,8443124,7,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Educating Rita,1983,actor,Michael Caine,1,1,0,PG,110,Lewis Gilbert,English,7.2,13014,8.0,5.2,14648076,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Educating Rita,1983,actress,Julie Walters,1,1,0,PG,110,Lewis Gilbert,English,7.2,13014,8.0,5.2,14648076,6,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Amadeus,1984,actor,F. Murray Abraham,0,1,1,R,160,Milos Forman,English,8.3,374769,9.3,8.8,51973029,35,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
Amadeus,1984,actor,Tom Hulce,0,0,0,R,160,Milos Forman,English,8.3,374769,9.3,8.8,51973029,35,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
Amadeus,1984,director,Miloš Forman,0,1,1,R,160,Milos Forman,English,8.3,374769,9.3,8.8,51973029,35,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
Amadeus,1984,picture,Amadeus,0,1,1,R,160,Milos Forman,English,8.3,374769,9.3,8.8,51973029,35,15,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
Starman,1984,actor,Jeff Bridges,0,0,0,PG,115,John Carpenter,English,7.0,43657,8.5,7.0,28744356,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Under the Volcano,1984,actor,Albert Finney,0,0,0,R,112,John Huston,English,7.0,5059,7.1,7.0,2556800,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Killing Fields,1984,actor,Sam Waterston,0,0,0,R,141,Roland Joffé,English,7.8,52251,9.3,7.6,34700291,25,22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
